#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
 195  0.906960  3.7133  3.2308  0.9712  2.2928  2.8027  2.3135  2.1132  2.0402  2.0007  2.3679
 196  0.907213  3.7127  3.2083  0.9917  2.2421  2.7541  2.2634  2.0621  1.9884  1.9486  2.3177
 197  0.907458  3.7122  3.1847  1.0132  2.1890  2.7033  2.2109  2.0085  1.9341  1.8939  2.2651
 198  0.907698  3.7116  3.1605  1.0351  2.1347  2.6514  2.1572  1.9537  1.8786  1.8379  2.2113
 199  0.907930  3.7109  3.1353  1.0579  2.0784  2.5976  2.1015  1.8968  1.8209  1.7798  2.1555
 200  0.908157  3.7103  3.1095  1.0812  2.0207  2.5426  2.0445  1.8386  1.7618  1.7203  2.0985
 201  0.908378  3.7096  3.0828  1.1052  1.9616  2.4864  1.9861  1.7789  1.7012  1.6592  2.0400
 202  0.908592  3.7089  3.0556  1.1296  1.9013  2.4291  1.9264  1.7179  1.6393  1.5968  1.9803
 203  0.908800  3.7081  3.0274  1.1546  1.8395  2.3707  1.8655  1.6554  1.5758  1.5328  1.9193
 204  0.909002  3.7072  2.9988  1.1801  1.7768  2.3114  1.8036  1.5920  1.5113  1.4677  1.8573
 205  0.909197  3.7063  2.9691  1.2061  1.7128  2.2513  1.7405  1.5272  1.4453  1.4011  1.7941
 206  0.909385  3.7053  2.9389  1.2326  1.6478  2.1904  1.6765  1.4613  1.3783  1.3333  1.7300
 207  0.909567  3.7043  2.9080  1.2594  1.5819  2.1287  1.6116  1.3946  1.3102  1.2645  1.6650
 208  0.909742  3.7032  2.8765  1.2867  1.5150  2.0663  1.5458  1.3267  1.2410  1.1945  1.5991
 209  0.909911  3.7021  2.8444  1.3144  1.4472  2.0033  1.4791  1.2579  1.1709  1.1236  1.5323
 210  0.910073  3.7009  2.8118  1.3424  1.3786  1.9397  1.4117  1.1883  1.0998  1.0516  1.4648
 211  0.910228  3.6996  2.7783  1.3708  1.3094  1.8761  1.3438  1.1180  1.0278  0.9787  1.3967
 212  0.910377  3.6985  2.7451  1.3995  1.2390  1.8110  1.2746  1.0466  0.9551  0.9051  1.3274
 213  0.910519  3.6972  2.7108  1.4285  1.1681  1.7463  1.2050  0.9743  0.8813  0.8302  1.2577
 214  0.910655  3.6958  2.6762  1.4578  1.0964  1.6809  1.1346  0.9014  0.8068  0.7547  1.1873
